"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@vi_VN"
"tax_purchase_vat8","8%","Thuế GTGT được khấu trừ 8%","8%","8.0","percent","purchase","tax_group_8","base","invoice","","","Thuế GTGT được khấu trừ 8%"
"","","","","","","","","tax","invoice","","chart1331",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","","chart1331",""
"tax_sale_vat8","8%","Thuế GTGT phải nộp 8%","8%","8.0","percent","sale","tax_group_8","base","invoice","","","Thuế GTGT phải nộp 8%"
"","","","","","","","","tax","invoice","","chart33311",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","","chart33311",""
