ghn_district_id,provine_id,name
2121,259,Huyện Đắk Tô
2120,241,Huyện Đắk Song
2119,207,Huyện Đắk Pơ
2118,207,Huyện Đắk Đoa
2117,208,Huyện đảo Trường Sa
2116,258,Huyện đảo Phú Quý
2115,219,Thành phố Phú Quốc
2114,242,Huyện đảo Lý Sơn
2113,219,Huyện đảo Kiên Hải
2112,203,Huyện đảo Hoàng Sa
2111,206,Huyện đảo Côn Đảo
2110,238,Huyện đảo Cồn Cỏ
2109,230,Huyện đảo Cô Tô
2108,224,Huyện đảo Cát Hải
2107,224,Huyện đảo Bạch Long Vĩ
2106,209,Huyện Đạ Tẻh
2105,238,Huyện Đa Krông
2104,209,Huyện Đạ Huoai
2103,214,Huyện Duyên Hải
2101,207,Huyện Chư Pưh
2096,250,Huyện Châu Thành
2093,218,Huyện Cù Lao Dung
2091,214,Huyện Cầu Kè
2090,202,Huyện Cần Giờ
2087,267,Huyện Cao Phong
2086,214,Huyện Càng Long
2084,212,Huyện Cai Lậy
2081,215,Huyện Bình Tân
2079,266,Huyện Bắc Yên
2078,243,Huyện Bắc Trà My
2075,227,Huyện Bắc Mê
2073,269,Huyện Bảo Thắng
2070,234,Huyện Bá Thước
2066,230,Thị xã Quảng Yên
2065,221,Thành phố Phúc Yên
2064,229,Thị xã Phú Thọ
2063,263,Thị xã Nghĩa Lộ
2062,218,Thị xã Ngã Năm
2061,208,Thị xã Ninh Hòa
2060,265,Thị xã Mường Lay
2059,216,Thị xã Hồng Ngự
2058,219,Thành phố Hà Tiên
2057,212,Thị xã Gò Công
2056,225,Thành phố Chí Linh
2055,212,Thị xã Cai Lậy
2054,215,Thị xã Bình Minh
2053,227,Huyện Yên Minh
2052,227,Huyện Xín Mần
2051,244,Huyện Võ Nhai
2050,253,Huyện Vĩnh Lợi
2049,204,Huyện Vĩnh Cửu
2048,250,Huyện Vị Thuỷ
2047,263,Huyện Văn Yên
2046,268,Huyện Văn Lâm
2045,268,Huyện Văn Giang
2044,263,Huyện Văn Chấn
2043,269,Huyện Văn Bàn
2042,252,Huyện U Minh
2041,246,Huyện Trùng Khánh
2040,238,Huyện Triệu Phong
2039,263,Huyện Trấn Yên
2038,252,Huyện Trần Văn Thời
2037,218,Huyện Trần Đề
2036,247,Huyện Tràng Định
2035,240,Thị xã Trảng Bàng
2034,215,Huyện Trà Ôn
2033,214,Huyện Trà Cú
2032,266,Huyện Thuận Châu
2031,211,Huyện Thủ Thừa
2030,216,Huyện Tháp Mười
2029,229,Huyện Thanh Sơn
2028,213,Huyện Thạnh Phú
2027,232,Huyện Thanh Liêm
2026,216,Huyện Thanh Bình
2025,264,Huyện Than Uyên
2024,236,Huyện Thạch Hà
2023,262,Huyện Tuy Phước
2022,265,Huyện Tuần Giáo
2021,265,Huyện Tủa Chùa
2020,214,Huyện Tiểu Cần
2019,230,Huyện Tiên Yên
2018,268,Huyện Tiên Lữ
2017,264,Huyện Tân Uyên
2016,211,Huyện Tân Trụ
2015,229,Huyện Tân Sơn
2014,267,Huyện Tân Lạc
2013,216,Huyện Tân Hồng
2012,258,Huyện Tánh Linh
2011,216,Huyện Tam Nông
2010,264,Huyện Tam Đường
2009,221,Huyện Tam Dương
2008,215,Huyện Tam Bình
2007,266,Huyện Sông Mã
2006,264,Huyện Sìn Hồ
2005,269,Thị xã Sa Pa
2004,201,Huyện Quốc Oai
2003,243,Huyện Quế Sơn
2002,237,Huyện Quảng Ninh
2001,227,Huyện Quang Bình
2000,234,Huyện Quan Sơn
1999,227,Huyện Quản Bạ
1998,253,Huyện Phước Long
1997,246,Huyện Phục Hòa
1996,266,Huyện Phù Yên
1995,243,Huyện Phú Ninh
1994,229,Huyện Phù Ninh
1993,260,Huyện Phú Hòa
1992,205,Huyện Phú Giáo
1991,244,Huyện Phú Bình
1990,244,Thị xã Phổ Yên
1989,264,Huyện Phong Thổ
1988,242,Huyện Nghĩa Hành
1987,243,Huyện Núi Thành
1986,261,Huyện Ninh Phước
1985,261,Huyện Ninh Hải
1984,264,Huyện Nậm Nhùn
1983,231,Huyện Nam Trực
1982,228,Huyện Na Hang
1981,231,Huyện Mỹ Lộc
1980,264,Huyện Mường Tè
1979,265,Huyện Mường Nhé
1978,265,Huyện Mường Chà
1977,263,Huyện Mù Cang Chải
1976,266,Huyện Mộc Châu
1975,213,Huyện Mỏ Cày Nam
1974,213,Huyện Mỏ Cày Bắc
1973,227,Huyện Mèo Vạc
1971,266,Huyện Mai Sơn
1970,232,Huyện Lý Nhân
1969,249,Huyện Lương Tài
1968,267,Huyện Lương Sơn
1967,263,Huyện Lục Yên
1966,248,Huyện Lục Ngạn
1965,248,Huyện Lục Nam
1964,239,Huyện Lộc Ninh
1963,247,Huyện Lộc Bình
1962,215,Huyện Long Hồ
1961,216,Huyện Lấp Vò
1960,221,Huyện Lập Thạch
1959,229,Huyện Lâm Thao
1958,209,Huyện Lâm Hà
1957,228,Huyện Lâm Bình
1956,209,Huyện Lạc Dương
1955,267,Huyện Kỳ Sơn
1954,210,Huyện Krông Pắc
1953,225,Huyện Kim Thành
1952,232,Huyện Kim Bảng
1951,226,Huyện Kiến Xương
1950,219,Huyện Kiên Lương
1949,218,Huyện Kế Sách
1948,247,Huyện Hữu Lũng
1947,235,Huyện Hưng Nguyên
1946,253,Huyện Hồng Dân
1945,227,Huyện Hoàng Su Phì
1944,233,Huyện Hoa Lư
1943,246,Huyện Hòa An
1942,234,Huyện Hậu Lộc
1941,228,Huyện Hàm Yên
1940,230,Huyện Hải Hà
1939,246,Huyện Hà Quảng
1938,229,Huyện Hạ Hòa
1937,213,Huyện Giồng Trôm
1936,238,Huyện Gio Linh
1935,253,Thị Xã Giá Rai
1934,225,Huyện Gia Lộc
1933,212,Huyện Gò Công Tây
1932,212,Huyện Gò Công Đông
1931,210,Huyện Ea Kar
1930,242,Thị xã Đức Phổ
1929,211,Huyện Đức Hòa
1928,227,Huyện Đồng Văn
